,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
171,BDKRB2, ,G-protein coupled receptor,"AKT1,BDKRB2,ERK1/2,JINK1/2,MAPK1",2,Inhibited,-4.481,1.4099999999999998e-12,0.0002,"ARRB1,AURKA,B2M,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLG,PML,PSME2,RAB4B,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",61 (5),4,24hr_PROT_causal_unique,True,
176,PLCD4, ,enzyme,"MAP2K1/2,MAPK1,PLCD4,PRKCQ",2,Inhibited,-3.571,1.98e-12,0.0001,"AURKA,C3,CHI3L1,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,FOSL1,GBP1,H2AX,HERC5,HK2,HLA-B,HLA-C,HLA-E,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MMP9,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",49 (4),3,24hr_PROT_causal_unique,True,
177,NTRK1, ,kinase,"MAPK1,NTRK1,SOD2",2,Inhibited,-5.126,2.06e-12,0.0001,"AURKA,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,H2AX,HERC5,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YWHAZ",44 (3),3,24hr_PROT_causal_unique,True,
179,MAGEB2,-0.384,other,"ATM,E2F1,MAGEB2,MAPK1,TP53",3,Activated,3.352,2.38e-12,0.0151,"ABCB1,ABCC1,ACTB,AK1,AURKA,BAX,BID,BUB1B,CASP1,CDK1,CES2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,FAM3C,FKBP3,FN1,FOSL1,FUBP1,G3BP1,GBP1,GDF15,GLB1,HERC5,HK2,HLA-B,HLA-C,HLA-E,HMGB1,HMGN2,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,LAP3,LGALS3,MAD1L1,MGST2,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NDRG1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PFKP,PHGDH,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSME2,PTPN6,RAD23A,RALY,RPS27L,RRAD,S100A4,SPRY2,SRC,ST14,STAT1,STAT2,STMN1,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YWHAH",109 (5),5,24hr_PROT_causal_unique,True,
182,ADORA3, ,G-protein coupled receptor,"ADORA3,ERK1/2,Gsk3,Jnk,MAP2K1/2,MAPK1,MAPK12,MAPK14",2,Inhibited,-3.9730000000000003,2.5299999999999995e-12,0.0019,"ARRB1,AURKA,B2M,BAX,C3,CCL4,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,DAB2,DDX58,EFEMP1,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLG,PML,PSME2,RAB4B,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",69 (8),8,24hr_PROT_causal_unique,True,
183,Gamma tubulin, ,group,"ATM,E2F1,E2F3,Gamma tubulin,MAPK1,TP53",3,Inhibited,-2.414,2.5299999999999995e-12,0.0231,"ABCB1,ABCC1,ACTB,AK1,AURKA,BAX,BID,BUB1B,CASP1,CDK1,CES2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,HERC5,HK2,HLA-B,HLA-C,HLA-E,HMGB1,HMGB2,HMGN2,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,LAP3,LGALS3,LPL,MAD1L1,MGST2,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NDRG1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PFKP,PHGDH,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSME2,PTPN6,RAD23A,RALY,RPS27L,RRAD,S100A4,S100A8,SERPINH1,SPRY2,SRC,ST14,STAT1,STAT2,STMN1,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,TGM2,THBD,THBS1,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,XPO4,YWHAH",116 (6),5,24hr_PROT_causal_unique,True,
184,MAPK1,-0.504,kinase,MAPK1,1,Inhibited,-4.938,2.7400000000000004e-12,0.0001,"AURKA,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",42 (1),1,24hr_PROT_causal_unique,True,True
188,IFNA2, ,cytokine,"EIF2A,EIF2AK2,IFNA2,JAK1,MMP9,NFkB (complex),P38 MAPK,PRKCQ,RAC1,STAT1,STAT3,TYK2",2,Activated,2.753,9.06e-12,0.0065,"ABCB1,APOBEC3G,ATP6AP2,BAX,C3,C4A/C4B,CCL4,CD14,CD36,CD44,CD55,CD82,CHI3L1,COL1A1,CTSS,DDX58,DDX60,DNMT1,EIF2AK2,ERAP1,FABP5,FN1,FOSL1,GBP1,GBP2,GBP4,GOLGA2,GOT1,HERC5,HK2,HLA-A,HLA-C,HLA-E,HMGCS1,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,KAT2B,KYNU,LILRB4,MIF,MMP9,MTA1,MX1,NDRG1,NFATC2,NPM1,OAS1,OAS2,OAS3,PARP12,PARP9,PCK2,PLAU,PML,PSIP1,PTPN2,PXN,RSAD2,SAR1A,SERPINE2,SLC2A1,STAT1,TDO2,TGM2,TRADD,TRIM21,UBE2L6,VIM",76 (12),12,24hr_PROT_causal_unique,True,True
191,IFNA2, ,cytokine,IFNA2,1,Activated,3.272,1.0100000000000001e-11,0.0001,"BAX,DDX58,DDX60,EIF2AK2,GBP1,GBP2,GOT1,HERC5,HMGCS1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LILRB4,MMP9,MX1,OAS1,OAS2,OAS3,PARP12,PML,RSAD2,STAT1,UBE2L6",27 (1),1,24hr_PROT_causal_unique,True,True
192,RPL11,-1.010,other,"MYC,RPL11,TP53",2,Activated,3.367,1.05e-11,0.0144,"ABCB1,ABCC1,ACTB,AK1,ALCAM,AURKA,BAG1,BCOR,BID,BUB1B,BZW2,CASP1,CD44,CDK1,CES2,COL1A1,COX5A,CTSD,DNMT1,DUT,ECM1,EIF4E,ENG,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,GTF2B,HK2,HMGB1,HMGN2,HMOX1,HSPB1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,LGALS3,MAD1L1,MGST2,MMP2,MMP9,MTA1,MX1,MX2,NCL,NDRG1,NPM1,OAS1,OASL,PDCD4,PFKP,PHGDH,PLAU,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PTPN6,RAD23A,RALY,RCC1,RPS27L,RRAD,RSAD2,S100A4,SERPINE2,SLC2A1,SRC,SRSF1,ST14,STAT1,STMN1,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,UBE2I,YWHAH",102 (3),3,24hr_PROT_causal_unique,True,
193,CLCF1, ,cytokine,"Akt,CLCF1,ERK1/2,GSK3B,IL6ST,JAK1,LIFR,Mapk,RHOA,STAT1,STAT3,TP63",3,Activated,3.286,1.07e-11,0.0295,"APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,EZR,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,MMP2,MMP9,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RAB4B,RCC1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP",89 (12),9,24hr_PROT_causal_unique,True,
195,CRLF1, ,cytokine,"Akt,CRLF1,ERK1/2,GSK3B,IL6ST,JAK1,LIFR,Mapk,RHOA,STAT1,STAT3,TP63",3,Activated,3.286,1.2900000000000002e-11,0.0321,"APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,EZR,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-C,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,MMP2,MMP9,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RAB4B,RCC1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP",89 (12),9,24hr_PROT_causal_unique,True,
197,PXN,-1.749,other,"Akt,Ap1,ATF2,CEBPA,CHEK1,DYRK1B,ELK1,ERK1/2,EZH2,FOSL1,FOXO1,FOXO3,GSK3B,IRF3,JUN,MED1,MMP12,MMP2,NFAT5,NFkB (complex),NR4A1,NRF1,PDGFRA,PHB2,PXN,RAC1,RB1,ROCK,SRC (family),SREBF2,STAT1,YBX1",3,Inhibited,-2.887,1.5499999999999998e-11,0.0389,"A2M,ACSL1,ACTB,ALB,APOBEC3G,ARRB1,ASNS,ATP2A2,B2M,BABAM2,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK1,CDK6,CEBPA,CEBPB,CLEC11A,CLTC,CP,CTSS,DAB2,DDX58,DDX60,EDF1,EFEMP1,EHD1,ERMP1,EZR,FABP5,FDPS,FN1,FOSL1,GBP2,GBP4,GOT1,H1-10,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-E,HLA-F,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IL1RN,IRF5,IRF8,ISG15,ITGB5,JUND,KRT10,KYNU,LTF,MAD1L1,MMP9,MTA1,NCOA7,NDUFB8,NOP16,NRP1,NUDT1,OAS1,OAS2,PEA15,PFKP,PLAU,PLG,PPP3CB,PSMB7,PSMD3,PSME3,RAB4B,RABGAP1L,RBL2,RPS7,RSAD2,RUNX1,S100A4,S100A9,SAR1A,SCPEP1,SERPINF1,SLC7A11,SOD1,SPRY2,SRC,TANK,TAP1,TAP2,TAPBP,TDO2,TGFB1,THBD,TRIM21,TXN,UBE2I,WTAP",108 (32),32,24hr_PROT_causal_unique,True,
198,FES,-0.124,kinase,"ERK1/2,FES,GSK3B,Mapk,PLD2,RHOA,STAT1,STAT3,STAT5a/b,TP63",3,Inhibited,-3.5789999999999997,2.0200000000000002e-11,0.0265,"APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CD82,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,EZR,FN1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-A,HLA-E,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUND,KAT2B,KHSRP,KRT10,MMP2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,NT5E,OAS1,PLAU,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,STIP1,TAP1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,VIM",85 (10),8,24hr_PROT_causal_unique,True,
202,NONO,-0.365,transcription regulator,NONO,1,Activated,5.745,4.13e-11,0.0001,"CMPK2,DDX58,DDX60,DDX60L,EIF2AK2,GBP1,GBP4,HERC5,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,MX2,NT5C3A,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PML,PNPT1,RNF213,RSAD2,SAMD9,SLFN5,STAT1,STAT2,TRIM25,UBE2L6",33 (1),1,24hr_PROT_causal_unique,True,True
203,EBI3, ,cytokine,"Akt,EBI3,GSK3B,Mapk,RHOA,STAT1,STAT3,TP63",3,Activated,4.025,6.379999999999999e-11,0.0313,"APOBEC3G,APOC3,ATG9A,ATP6AP2,B2M,BAX,C4A/C4B,CAST,CD14,CD44,CD82,CDK6,CEBPB,CHI3L1,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,KAT2B,KHSRP,KRT10,MMP2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RCC1,RHOC,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP1,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP",80 (8),8,24hr_PROT_causal_unique,True,
205,TGM2,2.017,enzyme,TGM2,1,Activated,2.897,8.320000000000001e-11,0.0001,"C3,CD36,CDK6,CFP,DDX60,DDX60L,EHD1,FCER1G,GTPBP10,HK3,HLA-B,IFI35,IFIT1,IFIT2,IFIT3,ITGAX,LGALS9,LSP1,MDN1,MMP2,MMP9,NPC2,OAS1,OAS2,OAS3,OASL,OTUD6B,PARP14,PARP9,POR,RNF213,S100A8,SIRPA,SLC25A15,SLC25A20,SLFN5,SLPI,STAT1,TAP1,TGFB1,THBS1,TTC27,UBA7",43 (1),1,24hr_PROT_causal_unique,True,True
206,IFNA1/IFNA13, ,cytokine,"Akt,GSK3B,IFNA1/IFNA13,Mapk,PI3K (complex),RHOA,STAT1,STAT3,TP63,TYK2",3,Activated,4.025,1.13e-10,0.0432,"APOBEC3G,APOC3,ATG9A,ATP6AP2,BAX,C4A/C4B,CAST,CCL4,CD14,CD36,CD44,CD82,CDK6,CEBPB,CHI3L1,COL1A1,CPT2,CSTA,CTSS,DDX60,DNMT1,ENG,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HK2,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,KAT2B,KHSRP,KRT10,LASP1,MMP2,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS2,PEA15,PLAU,PLG,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RCC1,RHOC,RSAD2,S100A4,S100A8,SLC2A1,SOD1,STAT1,TAP1,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP",80 (10),10,24hr_PROT_causal_unique,True,True
207,IFNL4, ,cytokine,IFNL4,1,Activated,3.162,2.02e-10,0.0001,"DDX58,DHX58,IFIH1,IFIT1,ISG15,MX1,OAS1,OAS2,OASL,STAT1",10 (1),1,24hr_PROT_causal_unique,True,True
216,miR-182-5p (and other miRNAs w/seed UUGGCAA), ,mature microRNA,miR-182-5p (and other miRNAs w/seed UUGGCAA),1,Inhibited,-3.742,3.8199999999999997e-10,0.0001,"CMPK2,DDX58,DDX60,DDX60L,FN1,IFI44L,IFIT1,ISG15,OAS2,RSAD2,SAMD9,SERPINE2,SLFN5,STAT1",14 (1),1,24hr_PROT_causal_unique,True,True
218,DUSP6, ,phosphatase,"DUSP6,ERK,ERK1/2,PGR",2,Inhibited,-2.562,6.38e-10,0.011,"ACSL1,APOBEC3G,ARRB1,B2M,C3,CCL4,CDK1,CEBPA,CEBPB,CLEC11A,COL1A1,CPT2,DDX60,DPYSL2,DYNLL1,EIF2AK2,FN1,FOSL1,GBP1,GDF15,GLUL,GOT1,HK2,HLA-A,IFI16,IFI35,IFI44L,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,MAP4K4,MMP2,MMP9,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDLIM1,PFKP,PLAU,POSTN,RAB4B,RSAD2,S100A8,STAT1,TAP1,TAP2,TAPBP,TGM2,THBS1",55 (4),3,24hr_PROT_causal_unique,True,
219,NPM1-ALK, ,fusion gene/product,"ERK1/2,GAPDH,NPM1-ALK,PKM,RPS6KB1,SHC1,STAT1,STAT3",2,Activated,2.3569999999999998,7.75e-10,0.0141,"APOBEC3G,ARRB1,ATP6AP2,B2M,BAX,C3,C4A/C4B,CD14,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,CTSS,DDX60,DHCR24,DNMT1,EZR,FCER1G,FH,FLI1,FN1,GBP1,GBP2,GBP4,GGT1,GSTP1,HLA-A,HLA-C,HLA-E,HMGB2,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,KAT2B,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,OAS1,OAS2,OAS3,PCK2,PGLS,PSIP1,PTPN2,RAB4B,RPE,TALDO1,TAP2,TAPBP,TRIM21,TXN,UBE2L6,VIM",65 (8),7,24hr_PROT_causal_unique,True,
220,IFNG, ,cytokine,IFNG,1,Activated,3.91,9.139999999999999e-10,0.0131,"AIF1,BAX,C3,CASP1,CCL4,CGAS,CMPK2,CP,CSF1R,CTSS,DDX58,DDX60,DDX60L,EIF2AK2,FCER1G,GBP1,GBP2,HLA-A,HLA-B,HLA-C,HLA-DRA,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IL1RN,IRF8,ISG15,LGALS9,LPL,MMP2,MMP9,MX1,MX2,OAS1,OAS2,OAS3,OASL,PML,PRDX2,RSAD2,SAMD9,SERPINB9,SLFN5,SOAT1,STAT1,STAT2,TAP1,TAP2,TCIRG1,THBS1,THEMIS2,VIM",55 (1),1,24hr_PROT_causal_unique,True,True
223,GSK3A,-0.183,kinase,"Akt,EGR1,GSK3A,MYC,NFkB (complex)",2,Activated,3.693,1.88e-09,0.0338,"ABCB1,ABCC1,ALCAM,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD44,COL1A1,COX5A,EIF4E,ERAP1,FABP5,FOSL1,GTF2B,HERC5,HK2,HLA-F,HMOX1,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IPO7,KYNU,MTA1,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFKB1,NFKB2,NPM1,OAS1,OASL,PDCD4,PEA15,PLAU,PLG,POLDIP3,POLR2D,PXN,RCC1,RPL11,RSAD2,SAR1A,SERPINE2,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TAP1,TDO2,TGM2,THBS1,UBE2I,WTAP",66 (5),5,24hr_PROT_causal_unique,True,
225,IL27, ,cytokine,"ERK1/2,IL27,STAT1,STAT3",2,Activated,2.889,6.16e-09,0.0271,"APOBEC3G,ARRB1,ATP6AP2,B2M,C3,C4A/C4B,CCL4,CD14,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,CTSS,DDX60,DNMT1,EIF2AK2,EZR,FN1,GBP1,GBP2,GBP4,HK2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT3,IL1RN,ISG15,JUN,JUND,KAT2B,MMP2,MX1,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,OAS1,PSIP1,PTPN2,RAB4B,SLC2A1,STAT1,TAP1,TAP2,TAPBP,TRIM21,VIM",58 (4),4,24hr_PROT_causal_unique,True,
228,TRIM38, ,enzyme,"IRF3,MAP3K7,NFkB (complex),TRIM38",2,Inhibited,-2.722,3.06e-08,0.0157,"ABCB1,C3,CCL4,CEBPB,DDX58,ERAP1,FABP5,FN1,GBP1,GBP2,HERC5,HLA-F,HMOX1,IFI44L,IFIH1,IFIT2,IFIT3,IRF5,ISG15,ITGB5,JUN,KYNU,MMP2,MMP9,MTA1,NAMPT,NFKB1,NFKB2,OAS1,OAS2,OASL,PLAU,PXN,RSAD2,SAR1A,TAP1,TDO2,TGM2,VIM",39 (4),4,24hr_PROT_causal_unique,True,
229,USP13, ,peptidase,"Akt,JAK1,MCL1,PI3K (family),RAD21,SMC3,STAT1,TYK2,USP13",3,Activated,4.718,3.07e-08,0.0277,"APOBEC3G,APOC3,BAX,C4A/C4B,CD14,CD36,CD44,CEBPB,CTSD,CTSS,DDX60,FDPS,FOSL1,GBP1,GBP2,GBP4,HLA-A,HLA-C,HLA-DRA,HLA-E,HLA-F,HMOX1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP2,MMP9,MX1,NDUFB8,OAS1,PEA15,PLG,PREX1,PXN,SLC2A1,STAT1,TAP1,TGFB1,TGM2,THBS1,TRIM21,VIM,WTAP",46 (9),9,24hr_PROT_causal_unique,True,
230,LIF, ,cytokine,"ERK1/2,LIF,STAT1,STAT3",2,Activated,2.335,3.47e-08,0.0433,"APOBEC3G,ARRB1,ATP6AP2,B2M,C3,C4A/C4B,CCL4,CD14,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,CTSS,DDX60,DNMT1,ERAP1,EZR,FN1,GBP1,GBP2,GBP4,HK2,HLA-A,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,KAT2B,MMP2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,OAS1,PSIP1,PTPN2,RAB4B,SLC2A1,STAT1,TAP2,TAPBP,TRIM21,VIM",53 (4),4,24hr_PROT_causal_unique,True,
231,PLAAT4, ,enzyme,"IFNB1,IRF3,NFkB (complex),PLAAT4",2,Activated,4.003,5.9500000000000003e-08,0.0271,"ABCB1,C3,CASP1,CCL4,CEBPB,DDX58,ERAP1,FABP5,FN1,HERC5,HLA-F,HMOX1,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IRF5,ISG15,KYNU,MMP2,MTA1,MX1,NAMPT,NFKB1,NFKB2,OAS1,OAS2,PLAU,PML,PXN,RSAD2,SAR1A,STAT1,STAT2,TAP1,TDO2,TGM2,VIM",39 (4),4,24hr_PROT_causal_unique,True,
232,PIM2, ,kinase,"HSF1,PIM2,PKM,TSC2",2,Inhibited,-2.197,1.08e-07,0.0026,"BAG3,BAX,CBX3,DNMT1,EFEMP1,FBLN1,FH,GGT1,HK2,HSPB1,HSPE1,ITGB5,MBOAT7,METTL3,MMP2,MMP9,MRPL18,NASP,NCOR1,PCK2,PGLS,RAB5C,RANBP1,RELA,RPE,RRAD,SERPINH1,SLC2A1,SMC1A,SSBP1,ST13,STAT4,STAT6,STIP1,TALDO1",35 (4),4,24hr_PROT_causal_unique,True,
234,RNY3, ,other,RNY3,1,Activated,3.464,1.12e-07,0.0001,"DDX60,HERC5,IFI44L,IFIT1,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,RSAD2",12 (1),1,24hr_PROT_causal_unique,True,True
235,BTK,0.046,kinase,BTK,1,Inhibited,-2.5,1.13e-07,0.0005,"BAG1,CCL4,IFI35,IFI44L,IFIT1,IFIT3,IL4I1,ISG15,ITGAX,JUN,MX1,MX2,OAS2,OAS3,RELA,STAT1",16 (1),1,24hr_PROT_causal_unique,True,True
236,EBI3, ,cytokine,"EBI3,STAT1,STAT3",2,Activated,4.117,1.15e-07,0.022,"APOBEC3G,ATP6AP2,B2M,C4A/C4B,CD14,CD44,CHI3L1,COL1A1,CTSS,DDX60,DNMT1,GBP1,GBP2,GBP4,HK2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,KAT2B,MMP2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,OAS1,PSIP1,PTPN2,SLC2A1,STAT1,TAP1,TRIM21,VIM",43 (3),3,24hr_PROT_causal_unique,True,
237,RNF216, ,enzyme,"IRF3,NFkB (complex),RNF216,TLR9,TRAF3",2,Inhibited,-3.904,1.23e-07,0.0392,"ABCB1,C3,CCL4,CEBPB,DDX58,DOK1,ERAP1,FABP5,FN1,HERC5,HLA-F,HMOX1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IL4I1,IRF5,ISG15,KYNU,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NFKB1,OAS1,OAS2,OAS3,PLAU,PXN,RSAD2,SAR1A,STAT1,TAP1,TDO2,TGM2,VIM",41 (5),5,24hr_PROT_causal_unique,True,
