© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
RC3H1	 	enzyme	RC3H1	1	Inhibited	-3.962	1.88E-15	1.00E-04	APOBEC3C,CD44,DDX58,FOSL1,HLA-F,HSPB1,IFI16,IFI44L,IFIT1,IFIT2,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,RSAD2,STAT1,STAT2,TRIM21,TRIM25,TRIM56	23 (1)	1
FYN	 	kinase	Akt,AKT1,ATF2,CD247,CTNNB1,DYRK1B,EGFR,EGR1,ERBB3,ERK,ERK1/2,FYN,GSK3B,HBEGF,HDAC6,HIF1A,Jnk,JUN,LCK,MAP2K1/2,Mapk,MAPK1,MET,MMP9,NFAT5,NFkB (complex),P38 MAPK,PARP1,PGR,PTPN6,RAC1,RELA,RHOA,ROCK,SHC1,SMAD3,SP1,SRC (family),STAT3,TAB1	3	 	-1.497	1.97E-15	4.27E-02	ABCB1,ACSL1,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ASNS,ATP2A2,ATP6AP2,AURKA,B2M,BAX,CARS1,CBS/CBSL,CCL4,CD36,CD47,CD55,CDK1,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A2,CP,CPT2,DDX58,DDX60,DNMT1,DOCK8,DPYSL2,DYNLL1,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,FCER1G,FHL1,FLI1,FOSL1,GBP1,GBP2,GLUL,GOLGA2,GOT1,GSTP1,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KAT2B,KYNU,LAP3,MAP4K4,MBD2,MIF,MKI67,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDUFB8,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NRP1,NUCKS1,NUDCD2,NUDT1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDLIM1,PEA15,PFDN1,PFKP,PHGDH,PLAU,PLG,PML,POSTN,PPIA,PPP3CA,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,PXN,RAB4B,RAD23A,RELA,RGS1,RHOC,RPS7,RSAD2,S100A8,SAR1A,SERPINE2,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,STAT2,STMN1,TAP2,TAPBP,TDO2,TFRC,TGFB1,TGFBI,TGM2,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91,ZYX	161 (40)	39
ALB	-1.088	transporter	ALB,DUSP1,EGFR,ELK1,LIN28A,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA	3	Inhibited	-2.915	2.07E-15	7.00E-04	ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,FOSL1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,THBS1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	99 (10)	8
IgG	 	complex	CDH1,Complement,CTNNB1,EGFR,ERK,IgG,IRAK1,IRF3,Jnk,MAPK1,NFkB (complex),P38 MAPK,SRC (family),STAT1,STAT5a/b	2	Inhibited	-2.164	2.19E-15	1.30E-03	ABCB1,ACTB,APOA4,APOBEC3G,AURKA,B2M,C3,C4A/C4B,CASP1,CCL4,CD14,CD36,CD44,CD47,CD55,CD82,CDKN2C,CEBPB,CHI3L1,COL1A1,CTSC,CTSS,DDX58,DDX60,DEGS1,DHCR7,EHD1,ERP29,EZR,FABP5,FOSL1,GBP2,GBP4,GOLGA2,HDGF,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HSPB1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IL1RN,IRF5,ISG15,JUND,KRT10,KYNU,LAP3,LGALS1,LGALS3,MAP4K4,MIF,MKI67,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFKB1,NFKB2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PPIA,PPP3CA,PSMB3,PSMB7,PSME2,PTPN6,PXN,RAD23A,RFTN1,RSAD2,SAR1A,SERPINF1,SLC7A11,SLC9A3R1,SPRY2,SRSF1,ST14,STAT2,STIP1,TAPBP,TDO2,TGFB1,THBS1,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,ZMPSTE24	113 (15)	15
PRL	 	cytokine	Ap1,ATF2,EGFR,ERBB2,ERK,ERK1/2,IGF1R,IRF1,JAK2,MAP2K1,MAPK1,MAPK9,NFkB (complex),PRL,RB1,RELA,SHC1,STAT1,STAT3,STAT5a/b,TP53	2	Activated	2.144	2.37E-15	3.46E-02	ABCC1,AK1,APOBEC3G,ARHGDIB,ARRB1,ASNS,ATP2A2,ATP6AP2,B2M,BAX,BID,BPNT2,BUB1B,C3,C4A/C4B,CASP1,CCL4,CD14,CD36,CD44,CDC37,CDK1,CDKN2C,CEBPA,CES2,CHI3L1,CLEC11A,CMPK2,COL1A1,COL6A3,CPM,CSF1R,CTSD,CTSS,DDX58,DDX60,DDX60L,DHX58,DOCK8,DTX3L,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERP29,EZR,FABP5,FAM3C,FKBP3,FLI1,FUBP1,GBP2,GBP4,GDF15,GLB1,GLO1,GSTP1,HELZ2,HERC5,HGSNAT,HLA-A,HLA-B,HLA-C,HLA-F,HM13,HMGB1,HMGB2,HMGN2,IDI1,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,IGFBP2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KAT2B,KRT10,KYNU,LAMP1,LAP3,LMNA,LPL,LSM3,MAD1L1,MAP4K4,METAP2,MGST2,MKI67,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NUP188,NUP210,OAS1,OAS2,OAS3,OASL,PARP10,PARP12,PARP14,PDIA3,PFKP,PHGDH,PLAU,PLIN2,PML,PNPT1,POLR2D,POSTN,PPIA,PPM1A,PPP3CA,PPP4R2,PRAG1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RELA,RFTN1,RGS1,RPS27L,RRAD,RSAD2,S100A4,SAMD9,SAR1A,SET,SLC7A11,SPRY2,SRSF1,ST14,STAT2,STIP1,STMN1,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGM2,THBD,THBS1,TK1,TMSB10/TMSB4X,TPM1,TPX2,TRAF1,TREM2,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,YWHAH,ZFP91	183 (21)	21
PPP2R2C	 	phosphatase	Ap1,CCND1,CDK2,CDKN1B,CEBPB,CHEK1,DUSP1,ELK1,ERK,GSK3B,LMNA,MYC,NFkB (complex),NOS2,Notch,PP2A,PPARG,PPP2R2C,PRKAA,PXN,RELA,RUNX2,RXRA,SMARCA4,SNAI2,STAT1,STAT3,STAT5a/b	3	 	0.407	2.39E-15	6.10E-03	ABCB1,ABCC1,ABRACL,ACSL5,AHNAK,ALB,ALCAM,APOB,APOBEC3G,ARHGDIB,ATG9A,ATP6AP2,BAG1,BAX,BCLAF1,BCOR,BSG,BZW2,C11orf58,C4A/C4B,CASP1,CBX5,CCL4,CD14,CD36,CD82,CDK6,CDKN2C,CFP,CHI3L1,CLDND1,COL1A1,COL1A2,COX4I1,COX5A,CP,CPM,CTSL,CTSS,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,EIF4E,ERAP1,FABP5,FCGR2A,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GMFG,GSTP1,GTF2B,H2AX,HCLS1,HERC5,HLA-B,HLA-C,HLA-F,HYOU1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,IGFBP3,IGFBP7,INPP1,IPO7,IRF2BP2,ISG15,ITIH2,JUN,KAT2B,KYNU,LASP1,LUM,MAFF,MAP4K4,MARCKS,MMP2,MMP9,MTA1,MTRES1,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,NRP1,OASL,PDCD4,POLDIP3,POLR2D,POSTN,PRMT1,PSIP1,PTPN2,PXN,RCC1,RELA,RFTN1,RGS1,RMDN3,ROCK1,RPL11,RPL13,RPL27A,RSAD2,RUNX1,S100A11,S100A4,S100A6,S100A8,SAR1A,SEC61B,SERPINH1,SHBG,SLC2A1,SLC7A11,SPRY2,SRC,SRFBP1,SRSF1,STAT1,STIP1,SUMO1,SUMO2,SUMO3,TALDO1,TDO2,TGM2,THBD,THBS1,TMPO,TMSB10/TMSB4X,TPI1,TPM1,TRAF1,TRIM21,UBE2I,ZFP91	151 (28)	24
SGPL1	0.190	enzyme	Akt,DUSP1,EGFR,ERK1/2,IKBKE,IRF3,LIN28A,MAP2K1/2,MAPK1,MAPK14,MAPK3,NFkB (complex),P38 MAPK,RARA,RELA,SGPL1,STAT1	3	 	-1.228	2.60E-15	9.30E-03	ABCB1,ANO10,APOBEC3G,ARHGDIB,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,BAX,C3,C4A/C4B,CCL4,CD14,CD36,CD44,CD55,CDK1,CEBPA,CHI3L1,CLEC11A,CP,CTSS,DAB2,DDX58,DDX60,DNAJC21,DNMT1,DOCK8,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,EZR,FABP5,FN1,FOSL1,GBP2,GBP4,GDF15,GOLGA2,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-F,HNRNPD,HSPB1,IFI16,IFI44L,IFIT1,IGFBP3,INIP,IRF2BP2,IRF5,ISG15,JUN,JUND,KYNU,LAP3,LGALS1,LUM,MIF,MKI67,MMP2,MTA1,MVP,MX1,MX2,NAMPT,NDUFB8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PHGDH,PLAU,PLG,PML,POSTN,PPIA,PSAT1,PSMB3,PSMB7,PSME2,PXN,RAB4B,RELA,RGS1,RPE,RSAD2,SAMD9,SAR1A,SFPQ,SLC16A3,SLC2A1,SPRY2,SRSF1,STAT1,STAT2,TAP2,TAPBP,TARDBP,TDO2,TGFB1,TGM2,THBD,TMSB10/TMSB4X,TPI1,TRADD,TRAF1,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91	130 (17)	16
COL18A1	0.392	other	Akt,BCL2,BIN1,CCNH,COL18A1,DUSP1,ESR1,ETS1,EZH2,Focal adhesion kinase,HSF1,ID1,IGF1R,IRF3,JAK1,JAK2,Jnk,JUN,LIN28A,MAPK1,MAPK3,MMP12,MTOR,MYC,NANOG,NCOA3,NR4A1,NRF1,P38 MAPK,PARP1,PDGFRB,PGK1,PTEN,RARA,RELA,RHOA,SP1,STAT1,STAT3,TFEB	3	Activated	2.440	2.75E-15	1.76E-02	AHNAK,ALCAM,ANO10,APOBEC3G,ARF4,ARHGDIB,ARPC5L,ASS1,ATP2A2,ATP6AP2,AURKA,BABAM2,BAG1,BAG3,BAX,BCAS3,BCOR,BZW2,C4A/C4B,CBS/CBSL,CBX3,CCL4,CD14,CD44,CD55,CDKN2C,CEBPB,COL1A2,COX5A,CP,CTBP2,DDX58,DDX60,DNAJC21,DNMT1,DOCK8,EHD1,EIF2AK2,EIF4E,ENY2,ERP29,F10,FBLN1,FN1,FOSL1,GBP1,GBP2,GBP4,GDF15,GLA,GMFG,GNS,GOLGA2,GOT1,GTF2B,HERC5,HINT1,HLA-B,HLA-C,HLA-E,HNRNPD,HSPB1,HSPE1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,INIP,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KAT2B,LAMP1,LAP3,LUM,MBOAT7,MIF,MKI67,MMP2,MMP9,MRPL18,MVP,MX1,MX2,MYOF,NAMPT,NASP,NCF1,NCOA7,NCOR1,NDUFB8,NFATC2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD5,PEA15,PFDN1,PGLS,PHACTR2,PLAU,PLG,PLIN2,PML,POLDIP3,POLR2D,PREX1,PRRC2C,PSEN1,PSIP1,PSMD3,PSME2,PSME3,PTPN2,RAB5C,RANBP1,RCC1,RELA,RGS1,RHOC,RPL11,RUNX1,S100A6,SAMD9,SERPINE2,SERPINH1,SET,SFPQ,SMC1A,SPRY2,SSBP1,ST13,STAT1,STAT2,STAT6,STIP1,SUMO1,SUMO2,SUMO3,TACC1,TAP1,TARDBP,TGFB1,TGM2,THBS1,TKT,TMOD3,TMSB10/TMSB4X,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,YWHAE,ZFP91	172 (40)	37
CRHR1	 	G-protein coupled receptor	CRHR1,DUSP1,EGFR,LIN28A,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA	3	Inhibited	-3.148	2.87E-15	9.00E-04	ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SLC2A1,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	97 (9)	8
CRHR2	 	G-protein coupled receptor	CRHR2,DUSP1,EGFR,LIN28A,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA	3	Inhibited	-3.351	3.22E-15	9.00E-04	ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SLC2A1,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	97 (9)	8
NPM1-ALK	 	fusion gene/product	AMPK,CEBPA,CHEK1,EGFR,EIF2AK2,EPHA2,EPRS1,ERK,ERK1/2,FOSL1,GAPDH,HIF1A,IGF1R,IRF1,Mapk,MED1,MMP2,MTOR,NFkB (complex),NPM1-ALK,P38 MAPK,PKM,PRKAA,PTPN11,RELA,RHOA,RICTOR,RPS6KB1,SHC1,SP1,STAT1,STAT3,TP63	3	 	1.983	3.44E-15	2.88E-02	A2M,ACSL1,ALB,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CARS1,CASP1,CAST,CBS/CBSL,CD14,CD36,CD44,CD55,CDK6,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,CMPK2,COL1A1,COL1A2,CPT2,CSTA,CTSD,CTSS,DDX58,DDX60,DHCR24,DNMT1,DOCK8,EDF1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERMP1,EZR,FABP5,FCER1G,FH,FHL1,FLI1,FN1,FUBP1,GBP1,GBP2,GBP4,GGT1,GOLGA2,GPNMB,GRN,GSTP1,H1-10,H2AX,HELZ2,HERC5,HINT1,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HMOX1,HSPB1,HYOU1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF5,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KHSRP,KRT10,KYNU,LTF,MAD1L1,MAP4K4,MBD2,MIF,MTA1,MX1,NAMPT,NCF1,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NRP1,NUCKS1,NUDCD2,OAS1,OAS2,OAS3,PARP12,PARP9,PCK2,PGLS,PNPT1,PPIA,PPP3CB,PRPF4,PSIP1,PSMB3,PSMB7,PTPN2,PXN,RAB4B,RABGAP1L,RCC1,RGS1,RHOC,RPE,S100A8,S100A9,SAR1A,SCPEP1,SERPINF1,SRSF2,TALDO1,TANK,TAP2,TAPBP,TDO2,TFRC,THBD,TMSB10/TMSB4X,TPM1,TRADD,TRIM21,TXN,UBE2I,UBE2L6,VIM,ZFP91	159 (33)	31
SLC7A5	 	transporter	EIF2AK4,ERK1/2,ESR1,FOXO3,GSK3B,HSF1,MTOR,MTORC1,MYC,NFkB (complex),RICTOR,RPS6KB1,SIRT1,SLC7A5,SREBF1,SREBF2,STAT1,TFEB,TP53	3	 	-1.161	3.63E-15	1.81E-02	ACTB,AHNAK,AK1,ALCAM,ANO10,APOBEC3F,APOBEC3G,ARF4,ARPC5L,ARRB1,ASNS,ASS1,AURKA,B2M,BAG1,BAG3,BAX,BCAS3,BCOR,BID,BUB1B,BZW2,C4A/C4B,CAP2,CASP1,CBX3,CD14,CD36,CD82,CEBPA,CEBPB,CES2,CLEC11A,COL1A1,COX4I1,COX5A,CP,CYCS,CYP51A1,DDX60,DHCR24,DNAJC21,DR1,DUT,ECM1,EFEMP1,EIF4E,ENG,ENY2,ERAP1,EZR,FABP5,FAM3C,FBLN1,FDPS,FKBP3,FOSL1,FUBP1,GBP1,GBP2,GBP4,GLA,GLB1,GNS,GPNMB,GTF2B,HERC5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HNRNPD,HSPB1,HSPE1,IFI44L,IGFBP3,IGFBP7,IL1RN,INIP,ISCU,ISG15,ITGB5,KYNU,LAMP1,LGALS1,LGALS3,MAD1L1,MBOAT7,MGST2,MRPL18,MX1,MX2,NAMPT,NASP,NCOR1,NDRG1,NFKB1,NFKB2,NPM1,NT5E,OASL,PCK2,PFKP,PGLS,PHGDH,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PTPN6,PXN,RAB4B,RAB5C,RAD23A,RALY,RANBP1,RCC1,RELA,RNASET2,RPL11,RPS27L,RSAD2,S100A4,SAMD9,SAR1A,SERPINE2,SERPINH1,SFPQ,SLC3A2,SLC7A11,SMC1A,SOD1,SRC,SRSF1,SSBP1,ST13,ST14,STAT1,STAT6,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TACC1,TAGLN2,TANK,TAP1,TDO2,TFRC,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,UBE2I,VIM,YWHAH	167 (19)	18
MGAT5	 	enzyme	DUSP1,EPHA2,ERK,Focal adhesion kinase,IGF1R,IRF1,LIN28A,Mapk,MAPK1,MAPK14,MAPK3,MGAT5,NANOG,NFkB (complex),P38 MAPK,PTPN11,PXN,RAC1,RARA,SRC,STAT1,STAT3	3	Inhibited	-3.866	3.87E-15	1.70E-03	ANO10,APOC3,ARPC5L,ATP6AP2,AURKA,BAX,C4A/C4B,CASP1,CD14,CD36,CD55,CD82,CDK1,CDK6,CMPK2,COL1A1,CP,CTSD,CTSS,DAB2,DDX58,DDX60,DNAJC21,DNMT1,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,FOSL1,GBP1,GBP2,GBP4,GMFG,GOLGA2,GRN,HELZ2,HERC5,HLA-B,HLA-C,HLA-E,HLA-F,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,INIP,ISG15,KAT2B,KYNU,LAP3,LGALS1,LUM,MAP4K4,MIF,MKI67,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PGLS,PHACTR2,PML,PRRC2C,PSIP1,PSME2,PTPN2,PXN,RSAD2,S100A6,SAMD9,SAR1A,SET,SFPQ,SLC2A1,SOD1,SPRY2,SRC,STAT1,STAT2,TAP1,TARDBP,TDO2,TGFB1,THBD,THBS1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YWHAE	118 (22)	18
BCAR3	 	other	Akt,Ap1,BCAR3,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,EGFR,EIF2A,ELK1,ERK,ERK1/2,FOS,FOSL1,KIT,Mapk,MAPK1,MAPK9,MED1,MMP2,MTOR,NFkB (complex),P38 MAPK,PRKAA,RAPGEF1,RB1,RELA,RHOA,RHOC,RPS6KB1,RUNX3,SP1,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	Inhibited	-2.372	3.93E-15	2.69E-02	A2M,ABCB1,ACSL1,ACTB,ALB,APOA4,APOBEC3G,APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CASP1,CBS/CBSL,CCL4,CD36,CD44,CD47,CD55,CD82,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,DDX58,DHCR24,DNMT1,DOCK8,EDF1,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FN1,GBP1,GLUL,GOLGA2,GOT1,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,LTF,MAD1L1,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PPP3CB,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RHOC,RUNX1,S100A4,S100A9,SAR1A,SCPEP1,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TDO2,TGM2,THBD,TK1,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91	160 (38)	37
AFDN	 	other	AFDN,Akt,Ap1,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,EGFR,EIF2A,ELK1,ERK,ERK1/2,FOS,FOSL1,KIT,Mapk,MAPK1,MAPK9,MED1,MMP2,MTOR,NFkB (complex),P38 MAPK,PRKAA,RAPGEF1,RB1,RELA,RHOA,RHOC,RPS6KB1,RUNX3,SP1,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1	3	Activated	2.372	4.23E-15	2.74E-02	A2M,ABCB1,ACSL1,ACTB,ALB,APOA4,APOBEC3G,APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CASP1,CBS/CBSL,CCL4,CD36,CD44,CD47,CD55,CD82,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,DDX58,DHCR24,DNMT1,DOCK8,EDF1,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FN1,GBP1,GLUL,GOLGA2,GOT1,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,LTF,MAD1L1,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PPP3CB,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RHOC,RUNX1,S100A4,S100A9,SAR1A,SCPEP1,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TDO2,TGM2,THBD,TK1,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91	160 (38)	37
